date,Center-count,Conservative-count,Progressive-count,Center-total_count,Conservative-total_count,Progressive-total_count,Center-ratio,Conservative-ratio,Progressive-ratio
"2019-01-01","3201","6835","5800","3201","6835","5800","1.0","1.0","1.0"
"2019-01-02","7043","11193","10429","7043","11193","10429","1.0","1.0","1.0"
"2019-01-03","7004","12405","10994","7004","12405","10994","1.0","1.0","1.0"
"2019-01-04","7021","11131","11051","7021","11131","11051","1.0","1.0","1.0"
"2019-01-05","4366","7394","6279","4366","7394","6279","1.0","1.0","1.0"
"2019-01-06","5870","8700","7302","5870","8700","7302","1.0","1.0","1.0"
"2019-01-07","8715","14011","12102","8715","14011","12102","1.0","1.0","1.0"
"2019-01-08","8694","13218","12589","8694","13218","12589","1.0","1.0","1.0"
"2019-01-09","8351","12565","12210","8351","12565","12210","1.0","1.0","1.0"
"2019-01-10","8513","13315","12489","8513","13315","12489","1.0","1.0","1.0"
"2019-01-11","7617","12038","11759","7617","12038","11759","1.0","1.0","1.0"
"2019-01-12","5073","7498","6717","5073","7498","6717","1.0","1.0","1.0"
"2019-01-13","5307","7241","6518","5307","7241","6518","1.0","1.0","1.0"
"2019-01-14","9683","13962","13050","9683","13962","13050","1.0","1.0","1.0"
"2019-01-15","8005","19625","13028","8005","19625","13028","1.0","1.0","1.0"
"2019-01-16","7775","12427","12166","7775","12427","12166","1.0","1.0","1.0"
"2019-01-17","9391","21185","12931","9391","21185","12931","1.0","1.0","1.0"
"2019-01-18","7788","11605","11762","7788","11605","11762","1.0","1.0","1.0"
"2019-01-19","5272","7581","6910","5272","7581","6910","1.0","1.0","1.0"
"2019-01-20","5011","7470","6544","5011","7470","6544","1.0","1.0","1.0"
"2019-01-21","6511","10903","9210","6511","10903","9210","1.0","1.0","1.0"
"2019-01-22","8164","12920","12367","8164","12920","12367","1.0","1.0","1.0"
"2019-01-23","8591","13349","12512","8591","13349","12512","1.0","1.0","1.0"
"2019-01-24","7970","12426","12102","7970","12426","12102","1.0","1.0","1.0"
"2019-01-25","9009","12041","12442","9009","12041","12442","1.0","1.0","1.0"
"2019-01-26","5938","7757","6892","5938","7757","6892","1.0","1.0","1.0"
"2019-01-27","6805","9131","8574","6805","9131","8574","1.0","1.0","1.0"
"2019-01-28","9707","15317","13448","9707","15317","13448","1.0","1.0","1.0"
"2019-01-29","9272","13253","13016","9272","13253","13016","1.0","1.0","1.0"
"2019-01-30","9228","13268","12723","9228","13268","12723","1.0","1.0","1.0"
"2019-01-31","9316","12776","12970","9316","12776","12970","1.0","1.0","1.0"
"2019-02-01","9033","11444","12641","9033","11444","12641","1.0","1.0","1.0"
"2019-02-02","6165","10865","7205","6165","10865","7205","1.0","1.0","1.0"
"2019-02-03","4939","6503","5672","4939","6503","5672","1.0","1.0","1.0"
"2019-02-04","8271","12963","11542","8271","12963","11542","1.0","1.0","1.0"
"2019-02-05","9270","13290","13078","9270","13290","13078","1.0","1.0","1.0"
"2019-02-06","9142","13370","13233","9142","13370","13233","1.0","1.0","1.0"
"2019-02-07","8428","14154","12658","8428","14154","12658","1.0","1.0","1.0"
"2019-02-08","9267","13426","12532","9267","13426","12532","1.0","1.0","1.0"
"2019-02-09","6818","8859","7093","6818","8859","7093","1.0","1.0","1.0"
"2019-02-10","6024","8009","7728","6024","8009","7728","1.0","1.0","1.0"
"2019-02-11","8383","13398","12556","8383","13398","12556","1.0","1.0","1.0"
"2019-02-12","8134","14034","12475","8134","14034","12475","1.0","1.0","1.0"
"2019-02-13","8399","13429","13019","8399","13429","13019","1.0","1.0","1.0"
"2019-02-14","7303","12187","11659","7303","12187","11659","1.0","1.0","1.0"
"2019-02-15","7021","11462","12013","7021","11462","12013","1.0","1.0","1.0"
"2019-02-16","4276","6798","6003","4276","6798","6003","1.0","1.0","1.0"
"2019-02-17","4607","6846","5997","4607","6846","5997","1.0","1.0","1.0"
"2019-02-18","6791","11404","9170","6791","11404","9170","1.0","1.0","1.0"
"2019-02-19","5483","9276","9642","5483","9276","9642","1.0","1.0","1.0"
"2019-02-20","5779","9722","10690","5779","9722","10690","1.0","1.0","1.0"
"2019-02-21","6404","11340","11518","6404","11340","11518","1.0","1.0","1.0"
"2019-02-22","6599","10197","10733","6599","10197","10733","1.0","1.0","1.0"
"2019-02-23","4173","6666","6003","4173","6666","6003","1.0","1.0","1.0"
"2019-02-24","4401","6785","6743","4401","6785","6743","1.0","1.0","1.0"
"2019-02-25","9428","12718","12942","9428","12718","12942","1.0","1.0","1.0"
"2019-02-26","11267","14251","13977","11267","14251","13977","1.0","1.0","1.0"
"2019-02-27","11697","22761","14743","11697","22761","14743","1.0","1.0","1.0"
"2019-02-28","12119","29130","16581","12119","29130","16581","1.0","1.0","1.0"
"2019-03-01","10571","12516","13384","10571","12516","13384","1.0","1.0","1.0"
"2019-03-02","6969","8093","7428","6969","8093","7428","1.0","1.0","1.0"
"2019-03-03","8842","11020","9940","8842","11020","9940","1.0","1.0","1.0"
"2019-03-04","10657","13743","13037","10657","13743","13037","1.0","1.0","1.0"
"2019-03-05","11303","15122","13867","11303","15122","13867","1.0","1.0","1.0"
"2019-03-06","11983","20241","15562","11983","20241","15562","1.0","1.0","1.0"
"2019-03-07","11294","16144","14834","11294","16144","14834","1.0","1.0","1.0"
"2019-03-08","11014","13824","14003","11014","13824","14003","1.0","1.0","1.0"
"2019-03-09","6937","9459","7782","6937","9459","7782","1.0","1.0","1.0"
"2019-03-10","6943","9594","7679","6943","9594","7679","1.0","1.0","1.0"
"2019-03-11","9163","12612","11197","9163","12612","11197","1.0","1.0","1.0"
"2019-03-12","9859","14787","14049","9859","14787","14049","1.0","1.0","1.0"
"2019-03-13","11025","13763","13866","11025","13763","13866","1.0","1.0","1.0"
"2019-03-14","9598","12642","13008","9598","12642","13008","1.0","1.0","1.0"
"2019-03-15","12131","15763","14950","12131","15763","14950","1.0","1.0","1.0"
"2019-03-16","8091","11530","8515","8091","11530","8515","1.0","1.0","1.0"
"2019-03-17","10388","12452","8728","10388","12452","8728","1.0","1.0","1.0"
"2019-03-18","8639","14260","11086","8639","14260","11086","1.0","1.0","1.0"
"2019-03-19","11003","14021","13403","11003","14021","13403","1.0","1.0","1.0"
"2019-03-20","11014","13188","13626","11014","13188","13626","1.0","1.0","1.0"
"2019-03-21","10135","13707","12270","10135","13707","12270","1.0","1.0","1.0"
"2019-03-22","7494","11129","11390","7494","11129","11390","1.0","1.0","1.0"
"2019-03-23","5803","7612","6301","5803","7612","6301","1.0","1.0","1.0"
"2019-03-24","6408","8095","6470","6408","8095","6470","1.0","1.0","1.0"
"2019-03-25","8737","12442","12228","8737","12442","12228","1.0","1.0","1.0"
"2019-03-26","7922","10945","11774","7922","10945","11774","1.0","1.0","1.0"
"2019-03-27","8884","10379","11517","8884","10379","11517","1.0","1.0","1.0"
"2019-03-28","8736","10068","11553","8736","10068","11553","1.0","1.0","1.0"
"2019-03-29","8159","8677","10406","8159","8677","10406","1.0","1.0","1.0"
"2019-03-30","6244","5555","5906","6244","5555","5906","1.0","1.0","1.0"
"2019-03-31","6445","6106","5880","6445","6106","5880","1.0","1.0","1.0"
"2019-04-01","6799","7429","8522","6799","7429","8522","1.0","1.0","1.0"
"2019-04-02","5864","7698","8195","5864","7698","8195","1.0","1.0","1.0"
"2019-04-03","7912","9017","10088","7912","9017","10088","1.0","1.0","1.0"
"2019-04-04","7618","10010","9990","7618","10010","9990","1.0","1.0","1.0"
"2019-04-05","8156","10527","11387","8156","10527","11387","1.0","1.0","1.0"
"2019-04-06","6062","6677","6813","6062","6677","6813","1.0","1.0","1.0"
"2019-04-07","5434","7505","6581","5434","7505","6581","1.0","1.0","1.0"
"2019-04-08","8222","11799","11481","8222","11799","11481","1.0","1.0","1.0"
"2019-04-09","9720","13511","13216","9720","13511","13216","1.0","1.0","1.0"
"2019-04-10","10444","13885","13465","10444","13885","13465","1.0","1.0","1.0"
"2019-04-11","10439","13769","13499","10439","13769","13499","1.0","1.0","1.0"
"2019-04-12","9969","12516","12623","9969","12516","12623","1.0","1.0","1.0"
"2019-04-13","6637","7497","7049","6637","7497","7049","1.0","1.0","1.0"
"2019-04-14","6527","7787","6780","6527","7787","6780","1.0","1.0","1.0"
"2019-04-15","9887","15355","13904","9887","15355","13904","1.0","1.0","1.0"
"2019-04-16","9595","15480","13634","9595","15480","13634","1.0","1.0","1.0"
"2019-04-17","10085","13507","13685","10085","13507","13685","1.0","1.0","1.0"
"2019-04-18","9813","13537","13704","9813","13537","13704","1.0","1.0","1.0"
"2019-04-19","10316","10688","11087","10316","10688","11087","1.0","1.0","1.0"
"2019-04-20","9014","7228","7043","9014","7228","7043","1.0","1.0","1.0"
"2019-04-21","5781","7738","6685","5781","7738","6685","1.0","1.0","1.0"
"2019-04-22","8578","11139","11458","8578","11139","11458","1.0","1.0","1.0"
"2019-04-23","9985","13155","13361","9985","13155","13361","1.0","1.0","1.0"
"2019-04-24","10139","13587","13574","10139","13587","13574","1.0","1.0","1.0"
"2019-04-25","10482","14056","13910","10482","14056","13910","1.0","1.0","1.0"
"2019-04-26","9566","12038","12677","9566","12038","12677","1.0","1.0","1.0"
"2019-04-27","6778","8154","7270","6778","8154","7270","1.0","1.0","1.0"
"2019-04-28","6540","7744","7418","6540","7744","7418","1.0","1.0","1.0"
"2019-04-29","9921","12856","13042","9921","12856","13042","1.0","1.0","1.0"
"2019-04-30","10232","13715","13833","10232","13715","13833","1.0","1.0","1.0"
"2019-05-01","9933","13629","13888","9933","13629","13888","1.0","1.0","1.0"
"2019-05-02","9895","13737","13631","9895","13737","13631","1.0","1.0","1.0"
"2019-05-03","9360","11846","12719","9360","11846","12719","1.0","1.0","1.0"
"2019-05-04","6466","7598","7392","6466","7598","7392","1.0","1.0","1.0"
"2019-05-05","6255","7924","7030","6255","7924","7030","1.0","1.0","1.0"
