date,progressive,conservative
19-Jan-01,5800,6835
19-Jan-02,10429,11193
19-Jan-03,10994,12405
19-Jan-04,11051,11131
19-Jan-05,6279,7394
19-Jan-06,7302,8700
19-Jan-07,12102,14011
19-Jan-08,12589,13218
19-Jan-09,12210,12565
19-Jan-10,12489,13315
19-Jan-11,11759,12038
19-Jan-12,6717,7498
19-Jan-13,6518,7241
19-Jan-14,13050,13962
19-Jan-15,13028,19625
19-Jan-16,12166,12427
19-Jan-17,12931,21185
19-Jan-18,11762,11605
19-Jan-19,6910,7581
19-Jan-20,6544,7470
19-Jan-21,9210,10903
19-Jan-22,12367,12920
19-Jan-23,12512,13349
19-Jan-24,12102,12426
19-Jan-25,12442,12041
19-Jan-26,6892,7757
19-Jan-27,8574,9131
19-Jan-28,13448,15317
19-Jan-29,13016,13253
19-Jan-30,12723,13268
19-Jan-31,12970,12776
19-Feb-01,12641,11444
19-Feb-02,7205,10865
19-Feb-03,5672,6503
19-Feb-04,11542,12963
19-Feb-05,13078,13290
19-Feb-06,13233,13370
19-Feb-07,12658,14154
19-Feb-08,12532,13426
19-Feb-09,7093,8859
19-Feb-10,7728,8009
19-Feb-11,12556,13398
19-Feb-12,12475,14034
19-Feb-13,13019,13429
19-Feb-14,11659,12187
19-Feb-15,12013,11462
19-Feb-16,6003,6798
19-Feb-17,5997,6846
19-Feb-18,9170,11404
19-Feb-19,9642,9276
19-Feb-20,10690,9722
19-Feb-21,11518,11340
19-Feb-22,10733,10197
19-Feb-23,6003,6666
19-Feb-24,6743,6785
19-Feb-25,12942,12718
19-Feb-26,13977,14251
19-Feb-27,14743,22761
19-Feb-28,16581,29130
19-Mar-01,13384,12516
19-Mar-02,7428,8093
19-Mar-03,9940,11020
19-Mar-04,13037,13743
19-Mar-05,13867,15122
19-Mar-06,15562,20241
19-Mar-07,14834,16144
19-Mar-08,14003,13824
19-Mar-09,7782,9459
19-Mar-10,7679,9594
19-Mar-11,11197,12612
19-Mar-12,14049,14787
19-Mar-13,13866,13763
19-Mar-14,13008,12642
19-Mar-15,14950,15763
19-Mar-16,8515,11530
19-Mar-17,8728,12452
19-Mar-18,11086,14260
19-Mar-19,13403,14021
19-Mar-20,13626,13188
19-Mar-21,12270,13707
19-Mar-22,11390,11129
19-Mar-23,6301,7612
19-Mar-24,6470,8095
19-Mar-25,12228,12442
19-Mar-26,11774,10945
19-Mar-27,11517,10379
19-Mar-28,11553,10068
19-Mar-29,10406,8677
19-Mar-30,5906,5555
19-Mar-31,5880,6106
19-Apr-01,8522,7429
19-Apr-02,8195,7698
19-Apr-03,10088,9017
19-Apr-04,9990,10010
19-Apr-05,11387,10527
19-Apr-06,6813,6677
19-Apr-07,6581,7505
19-Apr-08,11481,11799
19-Apr-09,13216,13511
19-Apr-10,13465,13885
19-Apr-11,13499,13769
19-Apr-12,12623,12516
19-Apr-13,7049,7497
19-Apr-14,6780,7787
19-Apr-15,13904,15355
19-Apr-16,13634,15480
19-Apr-17,13685,13507
19-Apr-18,13704,13537
19-Apr-19,11087,10688
19-Apr-20,7043,7228
19-Apr-21,6685,7738
19-Apr-22,11458,11139
19-Apr-23,13361,13155
19-Apr-24,13574,13587
19-Apr-25,13910,14056
19-Apr-26,12677,12038
19-Apr-27,7270,8154
19-Apr-28,7418,7744
19-Apr-29,13042,12856
19-Apr-30,13833,13715
19-May-01,13888,13629
19-May-02,13631,13737
19-May-03,12719,11846
19-May-04,7392,7598
19-May-05,7030,7924
19-May-06,12846,13028
19-May-07,12065,13431
19-May-08,13190,13378
19-May-09,12369,12396
19-May-10,13152,12282
19-May-11,6932,7391
19-May-12,6776,7491
19-May-13,12875,13359
19-May-14,13958,14403
19-May-15,14717,15339
19-May-16,14008,13530
19-May-17,12835,11934
19-May-18,7326,7187
19-May-19,6984,7281
19-May-20,12340,12296
19-May-21,13692,13107
19-May-22,14436,14143
19-May-23,13865,13211
19-May-24,13066,12936
19-May-25,7202,7628
19-May-26,7068,6894
19-May-27,8679,8686
19-May-28,13174,14578
19-May-29,14570,16188
19-May-30,13606,13217
19-May-31,13022,12125
19-Jun-01,7154,7359
19-Jun-02,7027,7491
19-Jun-03,13055,12631
19-Jun-04,13838,13657
19-Jun-05,13853,13321
19-Jun-06,13589,13752
19-Jun-07,12698,11648
19-Jun-08,7059,7328
19-Jun-09,6653,7075
19-Jun-10,12606,12257
19-Jun-11,13595,13221
19-Jun-12,14151,13287
19-Jun-13,14010,12907
19-Jun-14,12687,11330
19-Jun-15,8017,7436
19-Jun-16,6556,6997
19-Jun-17,12731,12541
19-Jun-18,13247,13197
19-Jun-19,13977,14131
19-Jun-20,13468,13107
19-Jun-21,12618,11880
19-Jun-22,6361,7015
19-Jun-23,8272,9417
19-Jun-24,13175,12835
19-Jun-25,13028,13550
19-Jun-26,13616,13123
19-Jun-27,14028,13269
19-Jun-28,12868,12030
19-Jun-29,7049,7878
19-Jun-30,7259,7942
19-Jul-01,12091,12780
19-Jul-02,12467,12692
19-Jul-03,12689,11978
19-Jul-04,8926,9028
19-Jul-05,9869,10050
