date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
10/1/19,88,56,23,35542,12852,12552,0.002475944,0.004357298,0.001832377
10/2/19,60,44,12,36704,13250,13105,0.001634699,0.003320755,0.000915681
10/3/19,112,65,28,36671,13151,13191,0.003054185,0.00494259,0.002122659
10/4/19,81,54,15,34634,12122,12700,0.002338742,0.00445471,0.001181102
10/5/19,32,25,6,22079,8196,7412,0.001449341,0.003050268,0.000809498
10/6/19,23,16,6,20914,7849,6834,0.001099742,0.002038476,0.000877963
10/7/19,66,46,13,36028,14185,12312,0.001831909,0.003242862,0.00105588
10/8/19,56,36,16,33902,13270,11812,0.00165182,0.002712886,0.001354555
10/9/19,88,55,20,36100,14143,12444,0.002437673,0.00388885,0.0016072
10/10/19,101,70,24,33249,12111,12176,0.003037685,0.00577987,0.001971091
10/11/19,100,68,25,34260,12305,12422,0.002918856,0.005526209,0.002012558
10/12/19,42,31,6,19552,7231,6324,0.002148118,0.004287097,0.000948767
10/13/19,31,24,6,20458,7535,6471,0.0015153,0.003185136,0.000927214
10/14/19,95,79,12,30992,11397,10697,0.003065307,0.006931649,0.00112181
10/15/19,97,68,18,39046,14193,13791,0.002484249,0.004791094,0.001305199
10/16/19,87,64,15,36999,13582,13363,0.002351415,0.004712119,0.001122502
10/17/19,71,53,16,37718,13505,13671,0.00188239,0.003924472,0.001170361
10/18/19,77,52,13,34517,12070,12513,0.002230785,0.004308202,0.00103892
10/19/19,63,43,14,20347,7621,6561,0.00309628,0.005642304,0.002133821
10/20/19,49,33,10,19684,7250,6480,0.002489331,0.004551724,0.00154321
10/21/19,104,59,27,34589,12442,12444,0.003006736,0.004742003,0.00216972
10/22/19,89,69,12,37375,13763,12928,0.002381271,0.005013442,0.000928218
10/23/19,65,44,11,37147,13319,13468,0.001749805,0.003303551,0.000816751
10/24/19,85,66,16,36783,13412,13368,0.00231085,0.004920966,0.001196888
10/25/19,83,60,13,31947,11155,11873,0.002598053,0.005378754,0.001094921
10/26/19,42,26,8,18568,6601,6421,0.002261956,0.003938797,0.001245912
10/27/19,28,21,6,17614,6626,6113,0.001589645,0.003169333,0.000981515
10/28/19,81,58,11,26048,9436,9641,0.003109644,0.006146672,0.00114096
10/29/19,102,80,12,30714,11084,11424,0.003320961,0.007217611,0.00105042
10/30/19,78,55,17,37281,13643,13200,0.002092219,0.004031371,0.001287879
10/31/19,92,66,18,36662,13394,13129,0.00250941,0.00492758,0.001371011
11/1/19,104,65,27,34262,12100,12592,0.003035433,0.005371901,0.002144219
11/2/19,40,29,8,20295,7454,6655,0.001970929,0.003890529,0.001202104
11/3/19,32,25,7,9670,3854,3581,0.003309204,0.006486767,0.001954761
11/4/19,107,77,18,34156,12148,12576,0.003132685,0.006338492,0.001431298
11/5/19,92,71,16,37790,14265,13500,0.002434506,0.004977217,0.001185185
11/6/19,119,68,38,39301,15464,13614,0.003027913,0.00439731,0.002791244
11/7/19,119,85,26,37087,13850,13381,0.003208672,0.006137184,0.001943054
11/8/19,115,74,26,33586,12122,12574,0.003424046,0.006104603,0.002067759
11/9/19,108,68,28,19882,7407,6692,0.005432049,0.009180505,0.0041841
11/10/19,60,44,11,19971,7357,6770,0.003004356,0.005980699,0.001624815
