date,center-count,conservative-count,progressive-count,center-total_count,conservative-total_count,progressive-total_count,center-ratio,conservative-ratio,progressive-ratio
"2019-01-01","1","6","0","3201","6835","5800","0.00031240237425804435","0.0008778346744696416","0"
"2019-01-02","0","4","3","7043","11193","10429","0","0.0003573662110247476","0.00028765941125707164"
"2019-01-03","0","22","8","7004","12405","10994","0","0.00177347843611447","0.0007276696379843551"
"2019-01-04","5","17","11","7021","11131","11051","0.0007121492664862555","0.0015272661935136107","0.0009953850330286851"
"2019-01-05","0","6","2","4366","7394","6279","0","0.0008114687584527996","0.00031852205765249244"
"2019-01-06","3","12","1","5870","8700","7302","0.0005110732538330494","0.001379310344827586","0.0001369487811558477"
"2019-01-07","1","29","12","8715","14011","12102","0.00011474469305794607","0.002069802298194276","0.0009915716410510659"
"2019-01-08","1","9","8","8694","13218","12589","0.00011502185415228893","0.0006808896958692692","0.0006354754150448804"
"2019-01-09","3","6","2","8351","12565","12210","0.0003592384145611304","0.000477516912057302","0.0001638001638001638"
"2019-01-10","0","12","9","8513","13315","12489","0","0.0009012392039053699","0.000720634158059092"
"2019-01-11","6","17","15","7617","12038","11759","0.0007877116975187081","0.001412194716730354","0.0012756186750574028"
"2019-01-12","2","4","4","5073","7498","6717","0.0003942440370589395","0.0005334755934915977","0.000595503945213637"
"2019-01-13","0","5","1","5307","7241","6518","0","0.0006905123601712471","0.00015342129487572875"
"2019-01-14","1","13","10","9683","13962","13050","0.00010327377878756583","0.000931098696461825","0.0007662835249042146"
"2019-01-15","1","9","8","8005","19625","13028","0.00012492192379762648","0.0004585987261146497","0.0006140620202640467"
"2019-01-16","3","10","8","7775","12427","12166","0.0003858520900321543","0.0008046994447573831","0.0006575702778234424"
"2019-01-17","2","6","5","9391","21185","12931","0.00021296986476413587","0.00028321925890960586","0.0003866676977805274"
"2019-01-18","2","4","3","7788","11605","11762","0.00025680534155110427","0.00034467901766479966","0.0002550586634926033"
"2019-01-19","1","2","3","5272","7581","6910","0.00018968133535660092","0.00026381743833267377","0.0004341534008683068"
"2019-01-20","0","3","5","5011","7470","6544","0","0.00040160642570281126","0.0007640586797066015"
"2019-01-21","4","2","5","6511","10903","9210","0.0006143449546920596","0.0001834357516279923","0.0005428881650380022"
"2019-01-22","7","12","9","8164","12920","12367","0.0008574228319451249","0.0009287925696594427","0.0007277431875151613"
"2019-01-23","1","11","4","8591","13349","12512","0.00011640088464672332","0.0008240317626788524","0.00031969309462915604"
"2019-01-24","4","17","5","7970","12426","12102","0.0005018820577164366","0.0013680991469499438","0.00041315485043794413"
"2019-01-25","3","17","5","9009","12041","12442","0.000333000333000333","0.0014118428701935055","0.00040186465198521136"
