date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-01-01","33","18","13","15836","6835","5800","0.0020838595604950744","0.0026335040234089246","0.0022413793103448275"
"2019-01-02","21","15","6","28665","11193","10429","0.0007326007326007326","0.0013401232913428035","0.0005753188225141433"
"2019-01-03","41","31","8","30403","12405","10994","0.0013485511298227148","0.0024989923417976624","0.0007276696379843551"
"2019-01-04","81","64","12","29203","11131","11051","0.002773687634832038","0.0057497080226394754","0.0010858745814858383"
"2019-01-05","19","11","7","18039","7394","6279","0.0010532734630522755","0.0014876927238301326","0.0011148272017837235"
"2019-01-06","46","32","9","21872","8700","7302","0.002103145574250183","0.0036781609195402297","0.0012325390304026294"
"2019-01-07","76","56","17","34828","14011","12102","0.0021821522912599057","0.003996859610306188","0.00140472649148901"
"2019-01-08","54","35","15","34501","13218","12589","0.0015651720239993044","0.002647904372824936","0.0011915164032091508"
"2019-01-09","31","21","6","33126","12565","12210","0.000935820805409648","0.001671309192200557","0.0004914004914004914"
"2019-01-10","36","28","7","34317","13315","12489","0.001049042748492001","0.0021028914757791964","0.0005604932340459605"
"2019-01-11","36","21","12","31414","12038","11759","0.0011459858661743171","0.0017444758265492608","0.0010204949400459222"
"2019-01-12","27","19","6","19288","7498","6717","0.0013998340937370385","0.0025340090690850895","0.0008932559178204555"
"2019-01-13","20","18","1","19066","7241","6518","0.0010489877268435959","0.0024858444966164893","0.00015342129487572875"
"2019-01-14","18","8","9","36695","13962","13050","0.0004905300449652542","0.0005729838132072769","0.000689655172413793"
"2019-01-15","49","28","16","40658","19625","13028","0.0012051748733336613","0.001426751592356688","0.0012281240405280934"
"2019-01-16","32","16","11","32368","12427","12166","0.0009886307464162135","0.0012875191116118129","0.0009041591320072332"
"2019-01-17","150","126","17","43507","21185","12931","0.0034477210563817317","0.005947604437101723","0.0013146701724537932"
"2019-01-18","29","17","12","31155","11605","11762","0.0009308297223559621","0.0014648858250753986","0.0010202346539704133"
"2019-01-19","12","9","3","19763","7581","6910","0.0006071952638769417","0.001187178472497032","0.0004341534008683068"
"2019-01-20","5","5","0","19025","7470","6544","0.00026281208935611036","0.0006693440428380187","0"
"2019-01-21","32","24","7","26624","10903","9210","0.001201923076923077","0.0022012290195359075","0.0007600434310532031"
"2019-01-22","63","39","17","33451","12920","12367","0.001883351768258049","0.003018575851393189","0.0013746260208619713"
"2019-01-23","28","17","9","34452","13349","12512","0.0008127249506559852","0.0012735036332309536","0.000719309462915601"
"2019-01-24","64","36","22","32498","12426","12102","0.001969351960120623","0.0028971511347175277","0.0018178813419269541"
"2019-01-25","63","35","23","33492","12041","12442","0.0018810462199928342","0.002906735320986629","0.0018485773991319724"
"2019-01-26","18","14","4","20587","7757","6892","0.0008743381745761889","0.0018048214515921104","0.0005803830528148578"
"2019-01-27","37","26","8","24510","9131","8574","0.0015095879232966136","0.002847442777351878","0.0009330534173081409"
"2019-01-28","61","37","12","38472","15317","13448","0.0015855687253067165","0.0024156166351113144","0.000892325996430696"
"2019-01-29","65","38","20","35541","13253","13016","0.00182887369516896","0.0028672753338866673","0.0015365703749231714"
"2019-01-30","61","27","24","35219","13268","12723","0.0017320196484851926","0.0020349713596623455","0.001886347559537845"
"2019-01-31","38","28","8","35062","12776","12970","0.0010837944213108208","0.0021916092673763305","0.0006168080185042405"
"2019-02-01","48","31","14","33118","11444","12641","0.0014493628842321396","0.00270884306186648","0.0011075073174590618"
"2019-02-02","34","23","7","24235","10865","7205","0.0014029296472044563","0.002116889093419236","0.0009715475364330327"
"2019-02-03","21","15","5","17114","6503","5672","0.0012270655603599393","0.0023066277102875596","0.0008815232722143865"
"2019-02-04","46","29","11","32776","12963","11542","0.001403465950695631","0.0022371364653243847","0.0009530410674059955"
"2019-02-05","110","48","48","35638","13290","13078","0.0030865929625680452","0.0036117381489841984","0.003670285976448998"
"2019-02-06","95","63","25","35745","13370","13233","0.002657714365645545","0.004712041884816754","0.001889216353056752"
"2019-02-07","174","127","37","35240","14154","12658","0.004937570942111238","0.00897272855729829","0.002923052614947069"
"2019-02-08","192","155","30","35225","13426","12532","0.005450674237047552","0.011544763890957844","0.0023938716884774978"
"2019-02-09","158","133","17","22770","8859","7093","0.006938954765041722","0.015012981149113895","0.0023967291696038347"
"2019-02-10","112","88","18","21761","8009","7728","0.00514682229676945","0.010987638906230491","0.002329192546583851"
"2019-02-11","177","115","40","34337","13398","12556","0.005154789294347205","0.00858337065233617","0.0031857279388340237"
"2019-02-12","205","143","50","34643","14034","12475","0.005917501371128366","0.010189539689325922","0.004008016032064128"
"2019-02-13","133","88","35","34847","13429","13019","0.0038166843630728616","0.006552982351627076","0.0026883785236961363"
"2019-02-14","111","75","30","31149","12187","11659","0.00356351728787441","0.006154098629687372","0.0025731194785144525"
"2019-02-15","146","95","34","30496","11462","12013","0.004787513116474291","0.008288256848717502","0.0028302672105219345"
"2019-02-16","84","59","16","17077","6798","6003","0.004918896761726298","0.008679023242130037","0.0026653339996668335"
"2019-02-17","63","46","14","17450","6846","5997","0.0036103151862464183","0.006719252118025124","0.002334500583625146"
"2019-02-18","95","60","26","27365","11404","9170","0.003471587794628175","0.00526131182041389","0.0028353326063249727"
"2019-02-19","155","93","49","24401","9276","9642","0.006352198680381951","0.010025873221216041","0.005081933208877826"
"2019-02-20","93","61","24","26191","9722","10690","0.003550838074147608","0.006274429129808681","0.002245088868101029"
"2019-02-21","110","70","31","29262","11340","11518","0.003759141548766318","0.006172839506172839","0.002691439486021879"
"2019-02-22","95","56","32","27529","10197","10733","0.0034509063169748267","0.005491811317054036","0.002981459051523339"
"2019-02-23","119","73","34","16842","6666","6003","0.007065669160432253","0.010951095109510952","0.00566383474929202"
"2019-02-24","75","56","14","17929","6785","6743","0.004183166936248536","0.008253500368459838","0.002076227198576301"
"2019-02-25","167","136","23","35088","12718","12942","0.0047594619243046055","0.01069350526812392","0.0017771596352959358"
