date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-01-01","14","13","1","15836","6835","5800","0.0008840616317251831","0.0019019751280175566","0.00017241379310344826"
"2019-01-02","18","18","0","28665","11193","10429","0.0006279434850863422","0.0016081479496113642","0"
"2019-01-03","17","15","0","30403","12405","10994","0.0005591553465118574","0.0012091898428053204","0"
"2019-01-04","23","16","5","29203","11131","11051","0.0007875903160634182","0.0014374270056598689","0.000452447742285766"
"2019-01-05","13","12","1","18039","7394","6279","0.0007206607905094518","0.0016229375169055991","0.00015926102882624622"
"2019-01-06","22","20","0","21872","8700","7302","0.001005852231163131","0.0022988505747126436","0"
"2019-01-07","24","20","3","34828","14011","12102","0.0006891007235557597","0.0014274498608236386","0.00024789291026276647"
"2019-01-08","28","24","3","34501","13218","12589","0.0008115706791107504","0.0018157058556513845","0.00023830328064183018"
"2019-01-09","14","14","0","33126","12565","12210","0.0004226287508301636","0.0011142061281337048","0"
"2019-01-10","7","6","1","34317","13315","12489","0.0002039805344290002","0.00045061960195268494","8.007046200656577e-05"
"2019-01-11","19","17","1","31414","12038","11759","0.0006048258738142229","0.001412194716730354","8.504124500382685e-05"
"2019-01-12","14","13","1","19288","7498","6717","0.0007258399004562423","0.0017337956788476927","0.00014887598630340925"
"2019-01-13","4","4","0","19066","7241","6518","0.0002097975453687192","0.0005524098881369977","0"
"2019-01-14","11","10","1","36695","13962","13050","0.0002997683608120997","0.0007162297665090961","7.662835249042145e-05"
"2019-01-15","15","12","3","40658","19625","13028","0.0003689310836735698","0.0006114649681528663","0.0002302732575990175"
"2019-01-16","16","12","4","32368","12427","12166","0.0004943153732081067","0.0009656393337088597","0.0003287851389117212"
"2019-01-17","12","11","0","43507","21185","12931","0.0002758176845105385","0.000519235308000944","0"
"2019-01-18","15","15","0","31155","11605","11762","0.00048146364949446316","0.0012925463162429987","0"
"2019-01-19","12","11","1","19763","7581","6910","0.0006071952638769417","0.0014509959108297058","0.0001447178002894356"
"2019-01-20","8","8","0","19025","7470","6544","0.0004204993429697766","0.00107095046854083","0"
"2019-01-21","5","5","0","26624","10903","9210","0.00018780048076923078","0.0004585893790699807","0"
"2019-01-22","21","19","2","33451","12920","12367","0.000627783922752683","0.0014705882352941176","0.00016172070833670252"
"2019-01-23","22","20","2","34452","13349","12512","0.0006385696040868455","0.0014982395685070042","0.00015984654731457802"
"2019-01-24","14","12","1","32498","12426","12102","0.00043079574127638623","0.0009657170449058426","8.263097008758883e-05"
"2019-01-25","7","6","1","33492","12041","12442","0.00020900513555475935","0.0004982974835977079","8.037293039704228e-05"
"2019-01-26","10","10","0","20587","7757","6892","0.0004857434303201049","0.0012891581797086502","0"
"2019-01-27","8","6","0","24510","9131","8574","0.0003263973888208894","0.000657102179388895","0"
"2019-01-28","18","17","0","38472","15317","13448","0.0004678727386150967","0.0011098779134295228","0"
"2019-01-29","9","9","0","35541","13253","13016","0.0002532286654849329","0.0006790915264468422","0"
"2019-01-30","14","14","0","35219","13268","12723","0.00039751270620971634","0.0010551703346397348","0"
"2019-01-31","8","8","0","35062","12776","12970","0.00022816724659175175","0.0006261740763932373","0"
"2019-02-01","17","12","3","33118","11444","12641","0.0005133160214988827","0.0010485844110450892","0.00023732299659837039"
"2019-02-02","12","10","2","24235","10865","7205","0.0004951516401898082","0.0009203865623561896","0.0002775850104094379"
"2019-02-03","7","7","0","17114","6503","5672","0.0004090218534533131","0.001076426264800861","0"
"2019-02-04","17","16","1","32776","12963","11542","0.0005186721991701245","0.0012342821877651777","8.664009703690868e-05"
"2019-02-05","19","13","2","35638","13290","13078","0.0005331387844435715","0.0009781790820165537","0.0001529285823520416"
"2019-02-06","43","30","11","35745","13370","13233","0.0012029654497132465","0.002243829468960359","0.0008312551953449709"
"2019-02-07","36","29","5","35240","14154","12658","0.0010215664018161181","0.002048890772926381","0.0003950071101279823"
"2019-02-08","23","22","1","35225","13426","12532","0.000652945351312988","0.0016386116490391778","7.979572294924992e-05"
"2019-02-09","16","13","0","22770","8859","7093","0.0007026789635485288","0.0014674342476577492","0"
"2019-02-10","27","24","2","21761","8009","7728","0.0012407518036854923","0.0029966287926083157","0.0002587991718426501"
"2019-02-11","15","12","1","34337","13398","12556","0.00043684655036840727","0.0008956560680698612","7.964319847085059e-05"
"2019-02-12","21","19","2","34643","14034","12475","0.0006061830672863204","0.0013538549237565912","0.00016032064128256512"
"2019-02-13","24","16","4","34847","13429","13019","0.0006887249978477344","0.0011914513366594684","0.00030724325985098704"
"2019-02-14","16","14","2","31149","12187","11659","0.0005136601496035186","0.0011487650775416428","0.00017154129856763016"
"2019-02-15","25","21","4","30496","11462","12013","0.0008197796432318992","0.001832140987611237","0.00033297261300258056"
"2019-02-16","14","14","0","17077","6798","6003","0.0008198161269543831","0.002059429243895263","0"
"2019-02-17","15","13","2","17450","6846","5997","0.0008595988538681948","0.0018989190768331872","0.00033350008337502084"
"2019-02-18","42","25","10","27365","11404","9170","0.0015348072355198246","0.0021922132585057872","0.0010905125408942203"
"2019-02-19","46","35","7","24401","9276","9642","0.0018851686406294824","0.003773178094006037","0.000725990458411118"
"2019-02-20","30","25","4","26191","9722","10690","0.001145431636821809","0.0025714873482822463","0.00037418147801683815"
"2019-02-21","23","21","0","29262","11340","11518","0.0007860023238329575","0.001851851851851852","0"
"2019-02-22","32","27","2","27529","10197","10733","0.0011624105488757311","0.00264783759929391","0.0001863411907202087"
"2019-02-23","20","20","0","16842","6666","6003","0.001187507421921387","0.003000300030003","0"
"2019-02-24","37","27","9","17929","6785","6743","0.002063695688549278","0.00397936624907885","0.001334717484799051"
"2019-02-25","30","29","0","35088","12718","12942","0.0008549931600547196","0.002280232740997012","0"
"2019-02-26","34","31","2","39495","14251","13977","0.0008608684643625776","0.0021752859448459757","0.00014309222293768333"
"2019-02-27","19","17","1","49201","22761","14743","0.000386171012784293","0.0007468916128465357","6.782880010852608e-05"
"2019-02-28","18","17","1","57830","29130","16581","0.000311257132975964","0.0005835907998626845","6.030999336590073e-05"
"2019-03-01","34","29","5","36471","12516","13384","0.0009322475391406872","0.002317034196228827","0.0003735803945008966"
"2019-03-02","23","22","1","22490","8093","7428","0.0010226767452200978","0.0027183986160879774","0.00013462574044157243"
"2019-03-03","21","19","2","29802","11020","9940","0.0007046506945842561","0.0017241379310344827","0.00020120724346076458"
"2019-03-04","32","31","1","37437","13743","13037","0.000854769345834335","0.0022556938077566762","7.670476336580502e-05"
"2019-03-05","40","37","1","40292","15122","13867","0.0009927529038022437","0.0024467663007538684","7.211365111415591e-05"
"2019-03-06","33","28","5","47786","20241","15562","0.0006905788306198468","0.0013833308630996491","0.0003212954633080581"
"2019-03-07","34","26","6","42272","16144","14834","0.0008043149129447389","0.0016105054509415262","0.00040447620331670486"
