date,progressive,conservative
2019-01-01,5800,6835
2019-01-02,10429,11193
2019-01-03,10994,12405
2019-01-04,11051,11131
2019-01-05,6279,7394
2019-01-06,7302,8700
2019-01-07,12102,14011
2019-01-08,12589,13218
2019-01-09,12210,12565
2019-01-10,12489,13315
2019-01-11,11759,12038
2019-01-12,6717,7498
2019-01-13,6518,7241
2019-01-14,13050,13962
2019-01-15,13028,19625
2019-01-16,12166,12427
2019-01-17,12931,21185
2019-01-18,11762,11605
2019-01-19,6910,7581
2019-01-20,6544,7470
2019-01-21,9210,10903
2019-01-22,12367,12920
2019-01-23,12512,13349
2019-01-24,12102,12426
2019-01-25,12442,12041
2019-01-26,6892,7757
2019-01-27,8574,9131
2019-01-28,13448,15317
2019-01-29,13016,13253
2019-01-30,12723,13268
2019-01-31,12970,12776
2019-02-01,12641,11444
2019-02-02,7205,10865
2019-02-03,5672,6503
2019-02-04,11542,12963
2019-02-05,13078,13290
2019-02-06,13233,13370
2019-02-07,12658,14154
2019-02-08,12532,13426
2019-02-09,7093,8859
2019-02-10,7728,8009
2019-02-11,12556,13398
2019-02-12,12475,14034
2019-02-13,13019,13429
2019-02-14,11659,12187
2019-02-15,12013,11462
2019-02-16,6003,6798
2019-02-17,5997,6846
2019-02-18,9170,11404
2019-02-19,9642,9276
2019-02-20,10690,9722
2019-02-21,11518,11340
2019-02-22,10733,10197
2019-02-23,6003,6666
2019-02-24,6743,6785
2019-02-25,12942,12718
2019-02-26,13977,14251
2019-02-27,14743,22761
2019-02-28,16581,29130
2019-03-01,13384,12516
2019-03-02,7428,8093
2019-03-03,9940,11020
2019-03-04,13037,13743
2019-03-05,13867,15122
2019-03-06,15562,20241
2019-03-07,14834,16144
2019-03-08,14003,13824
2019-03-09,7782,9459
2019-03-10,7679,9594
2019-03-11,11197,12612
2019-03-12,14049,14787
2019-03-13,13866,13763
2019-03-14,13008,12642
2019-03-15,14950,15763
2019-03-16,8515,11530
2019-03-17,8728,12452
2019-03-18,11086,14260
2019-03-19,13403,14021
2019-03-20,13626,13188
2019-03-21,12270,13707
2019-03-22,11390,11129
2019-03-23,6301,7612
2019-03-24,6470,8095
2019-03-25,12228,12442
2019-03-26,11774,10945
2019-03-27,11517,10379
2019-03-28,11553,10068
2019-03-29,10406,8677
2019-03-30,5906,5555
2019-03-31,5880,6106
2019-04-01,8522,7429
2019-04-02,8195,7698
2019-04-03,10088,9017
2019-04-04,9990,10010
2019-04-05,11387,10527
2019-04-06,6813,6677
2019-04-07,6581,7505
2019-04-08,11481,11799
2019-04-09,13216,13511
2019-04-10,13465,13885
2019-04-11,13499,13769
2019-04-12,12623,12516
2019-04-13,7049,7497
2019-04-14,6780,7787
2019-04-15,13904,15355
2019-04-16,13634,15480
2019-04-17,13685,13507
2019-04-18,13704,13537
2019-04-19,11087,10688
2019-04-20,7043,7228
2019-04-21,6685,7738
2019-04-22,11458,11139
2019-04-23,13361,13155
2019-04-24,13574,13587
2019-04-25,13910,14056
2019-04-26,12677,12038
2019-04-27,7270,8154
2019-04-28,7418,7744
2019-04-29,13042,12856
2019-04-30,13833,13715
2019-05-01,13888,13629
2019-05-02,13631,13737
2019-05-03,12719,11846
2019-05-04,7392,7598
2019-05-05,7030,7924
2019-05-06,12846,13028
2019-05-07,12065,13431
2019-05-08,13190,13378
2019-05-09,12369,12396
2019-05-10,13152,12282
2019-05-11,6932,7391
2019-05-12,6776,7491
2019-05-13,12875,13359
2019-05-14,13958,14403
2019-05-15,14717,15339
2019-05-16,14008,13530
2019-05-17,12835,11934
2019-05-18,7326,7187
2019-05-19,6984,7281
2019-05-20,12340,12296
2019-05-21,13692,13107
2019-05-22,14436,14143
2019-05-23,13865,13211
2019-05-24,13066,12936
2019-05-25,7202,7628
2019-05-26,7068,6894
2019-05-27,8679,8686
2019-05-28,13174,14578
2019-05-29,14570,16188
2019-05-30,13606,13217
2019-05-31,13022,12125
2019-06-01,7154,7359
2019-06-02,7027,7491
2019-06-03,13055,12631
2019-06-04,13838,13657
2019-06-05,13853,13321
2019-06-06,13589,13752
2019-06-07,12698,11648
2019-06-08,7059,7328
2019-06-09,6653,7075
2019-06-10,12606,12257
2019-06-11,13595,13221
2019-06-12,14151,13287
2019-06-13,14010,12907
2019-06-14,12687,11330
2019-06-15,8017,7436
2019-06-16,6556,6997
2019-06-17,12731,12541
2019-06-18,13247,13197
2019-06-19,13977,14131
2019-06-20,13468,13107
2019-06-21,12618,11880
2019-06-22,6361,7015
2019-06-23,8272,9417
2019-06-24,13175,12835
2019-06-25,13028,13550
2019-06-26,13616,13123
2019-06-27,14028,13269
2019-06-28,12868,12030
2019-06-29,7049,7878
2019-06-30,7259,7942
2019-07-01,12091,12780
2019-07-02,12467,12692
2019-07-03,12689,11978
2019-07-04,8926,9028
2019-07-05,9869,10050
2019-07-06,7210,7714
2019-07-07,7197,7964
2019-07-08,12393,13064
2019-07-09,14622,15282
2019-07-10,13326,13058
2019-07-11,14208,14247
2019-07-12,13531,14010
2019-07-13,6944,7211
2019-07-14,6742,6859
2019-07-15,13069,12581
2019-07-16,13126,13188
2019-07-17,14053,14785
2019-07-18,12467,12163
2019-07-19,11522,10656
2019-07-20,6722,6569
2019-07-21,6430,6650
2019-07-22,11438,11159
2019-07-23,12036,12189
2019-07-24,12546,12186
2019-07-25,12351,11966
2019-07-26,11362,10652
2019-07-27,6507,6578
2019-07-28,6302,6514
2019-07-29,11169,11604
2019-07-30,12339,12498
2019-07-31,12569,13223
2019-08-01,13182,13400
2019-08-02,10965,10735
2019-08-03,8047,9498
2019-08-04,8279,10006
2019-08-05,11264,11383
2019-08-06,11948,12412
2019-08-07,12264,12567
2019-08-08,12075,12589
2019-08-09,11143,10544
2019-08-10,6560,6914
2019-08-11,6080,6758
